id;titulo;equipamento_qtd;data_abertura;requerente;localizacao;g_responsavel;status;data_fechamento;contato;responsavel;equipamento
29360;Solicitação de equipamento - Computador;2;2025-06-26;USER_027;LOC_003;Suporte N2;Estoque;;Whatsapp;gestor_2;Computador
29348;Suporte à estação de trabalho;0;2025-06-26;USER_028;LOC_001;Suporte N2;Fechado;2025-06-28;Sistema;Informática;
29346;Impressora e serviços de impressão;0;2025-06-26;USER_029;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;
29343;Suporte à estação de trabalho;0;2025-06-26;USER_009;LOC_005;Suporte N2;Pendente;;Sistema;gestor_4;
29265;Solicitação de equipamento - Computador;3;2025-06-26;USER_023;LOC_006;Suporte N2;Estoque;;Sistema;gestor_5;Computador
29261;Solicitação de equipamento - Computador;2;2025-06-26;USER_023;LOC_006;Suporte N2;Estoque;;Whatsapp;gestor_5;Computador
29209;Suporte à estação de trabalho;0;2025-06-25;USER_030;LOC_001;Suporte N2;Atribuído;;800;Informática;
29160;Suporte em eventos;0;2025-06-25;USER_011;LOC_001;Eventos;Fechado;2025-06-27;Sistema;Informática;
29129;Suporte à estação de trabalho;0;2025-06-25;USER_031;LOC_003;Equipe Regional;Atribuído;;Whatsapp;gestor_2;
29120;Suporte à estação de trabalho;0;2025-06-25;USER_032;LOC_001;Suporte N2;Pendente;;Sistema;Informática;
29093;Impressora e serviços de impressão;0;2025-06-25;USER_033;LOC_001;Suporte N2;Atribuído;;Sistema;Informática;
28952;Solicitação de equipamento - Computador;1;2025-06-24;USER_034;LOC_009;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
28907;E-mail Institucional;0;2025-06-23;USER_035;LOC_005;Suporte N2;Fechado;2025-06-25;Sistema;gestor_4;
28805;Solicitação de equipamento - Computador;2;2025-06-23;USER_023;LOC_006;Suporte N2;Estoque;;Whatsapp;gestor_5;Computador
28804;Suporte à estação de trabalho;0;2025-06-23;USER_032;LOC_001;Bancada;Atribuído;;800;Informática;
28797;Certificado Digital;0;2025-06-23;USER_036;LOC_003;Suporte N2;Fechado;2025-06-24;Sistema;gestor_2;
28785;Suporte à estação de trabalho;0;2025-06-23;USER_009;LOC_005;Bancada;Atribuído;;Whatsapp;gestor_4;
28756;Solicitação de equipamento - Computador;3;2025-06-23;USER_037;LOC_010;Suporte N2;Estoque;;Sistema;gestor_5;Computador
28745;Suporte à estação de trabalho;0;2025-06-23;USER_009;LOC_005;Bancada;Pendente;;Sistema;gestor_4;
28740;Suporte à estação de trabalho;0;2025-06-23;USER_009;LOC_005;Suporte N2;Atribuído;;Whatsapp;gestor_4;
28669;Suporte à estação de trabalho;0;2025-06-23;USER_038;LOC_005;Suporte N2;Fechado;2025-06-25;Sistema;gestor_4;
28662;Suporte à estação de trabalho;0;2025-06-23;USER_039;LOC_011;Suporte N2;Atribuído;;Whatsapp;gestor_5;
28642;Suporte à estação de trabalho;0;2025-06-23;USER_040;LOC_001;Suporte N2;Pendente;;Sistema;Informática;
28592;Solicitação de equipamento - Computador;1;2025-06-18;USER_041;LOC_009;Suporte N2;Estoque;;Sistema;gestor_4;Computador
28577;Suporte à estação de trabalho;0;2025-06-18;USER_042;LOC_005;Suporte N2;Atribuído;;Whatsapp;gestor_4;
28569;Solicitação de equipamento - Computador;1;2025-06-18;USER_037;LOC_010;Suporte N2;Estoque;;800;gestor_5;Computador
28364;Solicitação de equipamento - Computador;3;2025-06-18;USER_043;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
28232;Solicitação de equipamento - Computador;3;2025-06-17;USER_044;LOC_012;Suporte N2;Estoque;;Sistema;gestor_4;Computador
28089;Solicitação de equipamento - Computador;1;2025-06-17;USER_045;LOC_013;Suporte N2;Estoque;;Whatsapp;gestor_5;Computador
28074;Solicitação de equipamento - Computador;2;2025-06-17;USER_046;LOC_014;Suporte N2;Estoque;;Sistema;gestor_1;Computador
27824;Impressora e serviços de impressão;0;2025-06-13;USER_047;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;
27755;Solicitação de equipamento - Computador;1;2025-06-13;USER_048;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
27754;Solicitação de equipamento - Computador;1;2025-06-13;USER_048;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
27586;Suporte à estação de trabalho;0;2025-06-12;USER_017;LOC_001;Suporte N2;Fechado;2025-06-14;Sistema;Informática;
27524;Solicitação de equipamento - Computador;2;2025-06-12;USER_049;LOC_015;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
27441;Solicitação de equipamento - Computador;1;2025-06-12;USER_050;LOC_016;Suporte N2;Estoque;;Sistema;gestor_3;Computador
27224;Suporte à estação de trabalho;0;2025-06-11;USER_051;LOC_009;Suporte N2;Atribuído;;Whatsapp;gestor_4;
27198;Suporte à estação de trabalho;0;2025-06-11;USER_052;LOC_001;Suporte N2;Pendente;;Sistema;Informática;
27038;Solicitação de equipamento - Computador;3;2025-06-10;USER_053;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
26962;Solicitação de equipamento - Computador;3;2025-06-10;USER_054;LOC_014;Suporte N2;Estoque;;Whatsapp;gestor_1;Computador
26958;Suporte à estação de trabalho;0;2025-06-10;USER_010;LOC_005;Suporte N2;Atribuído;;800;gestor_4;
26718;Solicitação de equipamento - Computador;2;2025-06-09;USER_055;LOC_013;Suporte N2;Estoque;;Sistema;gestor_5;Computador
26627;Impressora e serviços de impressão;0;2025-06-09;USER_029;LOC_001;Suporte N2;Fechado;2025-06-11;Whatsapp;Informática;
26484;Solicitação de equipamento - Computador;2;2025-06-06;USER_056;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
26451;Solicitação de equipamento - Computador;2;2025-06-06;USER_054;LOC_003;Suporte N2;Estoque;;Whatsapp;gestor_2;Computador
26450;Solicitação de equipamento - Computador;3;2025-06-06;USER_054;LOC_008;Suporte N2;Estoque;;Sistema;Informática;Computador
26376;Impressora e serviços de impressão;0;2025-06-06;USER_056;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;
26302;Estabilizador/No-break;0;2025-06-05;USER_057;LOC_017;Suporte N2;Fechado;2025-06-07;Sistema;Informática;
26284;Impressora e serviços de impressão;0;2025-06-05;USER_051;LOC_009;Apoio a Estagiário;Atribuído;;800;gestor_4;
26281;Solicitação de equipamento - Computador;3;2025-06-05;USER_058;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
26271;Solicitação de equipamento - Computador;2;2025-06-05;USER_059;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
26150;Solicitação de equipamento - Computador;3;2025-06-05;USER_060;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
26065;Suporte à estação de trabalho;0;2025-06-04;USER_061;LOC_001;Suporte N2;Atribuído;;Sistema;Informática;
25878;Impressora e serviços de impressão;0;2025-06-04;USER_017;LOC_001;Suporte N2;Fechado;2025-06-06;Whatsapp;Informática;
25809;Solicitação de equipamento - Computador;1;2025-06-04;USER_062;LOC_005;Suporte N2;Estoque;;Sistema;gestor_4;Computador
25650;Solicitação de equipamento - Computador;2;2025-06-03;USER_054;LOC_018;Suporte N2;Estoque;;Whatsapp;gestor_1;Computador
25331;Suporte à estação de trabalho;0;2025-06-02;USER_024;LOC_007;Suporte N2;Atribuído;;800;gestor_3;
25117;Solicitação de equipamento - Computador;2;2025-05-30;USER_063;LOC_019;Suporte N2;Estoque;;Sistema;gestor_3;Computador
25086;Impressora e serviços de impressão;0;2025-05-30;USER_063;LOC_019;Suporte N2;Fechado;2025-06-01;Whatsapp;gestor_3;
25005;Solicitação de equipamento - Computador;2;2025-05-29;USER_030;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
25000;Solicitação de equipamento - Computador;1;2025-05-29;USER_064;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
24867;Solicitação de equipamento - Computador;2;2025-05-29;USER_065;LOC_020;Suporte N2;Estoque;;Sistema;gestor_3;Computador
24854;Impressora e serviços de impressão;0;2025-05-29;USER_066;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;
24712;Suporte à estação de trabalho;0;2025-05-28;USER_067;LOC_021;Equipe Regional;Fechado;2025-05-30;Sistema;Informática;
24709;Solicitação de equipamento - Computador;2;2025-05-28;USER_067;LOC_021;Suporte N2;Estoque;;Whatsapp;Informática;Computador
24640;Estabilizador/No-break;0;2025-05-28;USER_068;LOC_022;Suporte N2;Atribuído;;800;gestor_3;
24592;Solicitação de equipamento - Computador;3;2025-05-28;USER_069;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
24507;Suporte à estação de trabalho;0;2025-05-27;USER_070;LOC_023;Bancada;Atribuído;;Whatsapp;Informática;
24494;Solicitação de equipamento - Computador;2;2025-05-27;USER_071;LOC_003;Suporte N2;Estoque;;Sistema;gestor_2;Computador
24479;Solicitação de equipamento - Computador;3;2025-05-27;USER_072;LOC_023;Suporte N2;Estoque;;Whatsapp;Informática;Computador
24275;Solicitação de equipamento - Computador;1;2025-05-27;USER_029;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
24029;Suporte à estação de trabalho;0;2025-05-26;USER_073;LOC_024;Suporte N2;Fechado;2025-05-28;Whatsapp;gestor_2;
23780;Solicitação de equipamento - Computador;1;2025-05-23;USER_074;LOC_025;Suporte N2;Estoque;;Sistema;gestor_5;Computador
23542;Solicitação de equipamento - Computador;3;2025-05-22;USER_010;LOC_005;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
23463;Impressora e serviços de impressão;0;2025-05-21;USER_057;LOC_026;Suporte N2;Atribuído;;Sistema;gestor_4;
23436;Solicitação de equipamento - Computador;3;2025-05-21;USER_055;LOC_027;Suporte N2;Estoque;;Whatsapp;gestor_5;Computador
23434;Solicitação de equipamento - Computador;2;2025-05-21;USER_010;LOC_005;Suporte N2;Estoque;;Sistema;gestor_4;Computador
23432;Solicitação de equipamento - Computador;1;2025-05-21;USER_010;LOC_005;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
23420;Suporte à estação de trabalho;0;2025-05-21;USER_075;LOC_028;Suporte N2;Atribuído;;800;gestor_4;
23418;Solicitação de equipamento - Computador;1;2025-05-21;USER_010;LOC_005;Suporte N2;Estoque;;Sistema;gestor_4;Computador
23416;Solicitação de equipamento - Computador;1;2025-05-21;USER_010;LOC_005;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
23400;Solicitação de equipamento - Computador;1;2025-05-21;USER_044;LOC_012;Bancada;Estoque;;Sistema;gestor_4;Computador
23308;Solicitação de equipamento - Computador;3;2025-05-21;USER_076;LOC_029;Suporte N2;Estoque;;Whatsapp;gestor_2;Computador
23305;Solicitação de equipamento - Computador;3;2025-05-21;USER_077;LOC_030;Suporte N2;Estoque;;Sistema;gestor_2;Computador
23288;Solicitação de equipamento - Computador;3;2025-05-21;USER_077;LOC_003;Suporte N2;Estoque;;Whatsapp;gestor_2;Computador
23269;Impressora e serviços de impressão;0;2025-05-21;USER_055;LOC_025;Suporte N2;Atribuído;;Whatsapp;gestor_5;
23260;Solicitação de equipamento - Computador;1;2025-05-21;USER_055;LOC_031;Suporte N2;Estoque;;Sistema;gestor_5;Computador
23257;Suporte à estação de trabalho;0;2025-05-21;USER_004;LOC_002;Bancada;Atribuído;;800;gestor_3;
23199;Solicitação de equipamento - Computador;2;2025-05-20;USER_078;LOC_032;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
23197;Solicitação de equipamento - Computador;1;2025-05-20;USER_078;LOC_007;Suporte N2;Estoque;;Sistema;gestor_3;Computador
23194;Solicitação de equipamento - Computador;3;2025-05-20;USER_078;LOC_032;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
22773;Solicitação de equipamento - Computador;3;2025-05-19;USER_037;LOC_010;Suporte N2;Estoque;;Sistema;gestor_5;Computador
22750;Solicitação de equipamento - Computador;1;2025-05-19;USER_079;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
22682;Solicitação de equipamento - Periférico - Webcam;2;2025-05-18;USER_010;LOC_005;Suporte N2;Atribuído;;Sistema;gestor_4;Periférico - Webcam
22637;Solicitação de equipamento - Periférico - Webcam;3;2025-05-16;USER_073;LOC_024;Suporte N2;Fechado;2025-05-18;Whatsapp;gestor_2;Periférico - Webcam
22377;Impressora e serviços de impressão;0;2025-05-15;USER_080;LOC_001;Suporte N2;Atribuído;;800;Informática;
22259;Solicitação de equipamento - Periférico - Webcam;1;2025-05-15;USER_081;LOC_033;Suporte N2;Estoque;;Sistema;gestor_2;Periférico - Webcam
22252;Solicitação de equipamento - Periférico - Webcam;3;2025-05-15;USER_082;LOC_034;Suporte N2;Estoque;;Whatsapp;gestor_2;Periférico - Webcam
22250;Solicitação de equipamento - Periférico - Webcam;3;2025-05-15;USER_083;LOC_030;Suporte N2;Estoque;;Sistema;gestor_2;Periférico - Webcam
22235;Solicitação de equipamento - Periférico - Webcam;2;2025-05-15;USER_084;LOC_035;Suporte N2;Estoque;;Whatsapp;gestor_3;Periférico - Webcam
22197;Solicitação de equipamento - Periférico - Webcam;2;2025-05-15;USER_085;LOC_016;Suporte N2;Estoque;;Sistema;gestor_3;Periférico - Webcam
22192;Solicitação de equipamento - Computador;3;2025-05-15;USER_045;LOC_013;Suporte N2;Estoque;;Whatsapp;gestor_5;Computador
21752;Solicitação de equipamento - Computador;3;2025-05-13;USER_086;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
21610;Solicitação de equipamento - Computador;3;2025-05-13;USER_087;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
21473;Solicitação de equipamento - Computador;3;2025-05-12;USER_001;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
21368;Estabilizador/No-break;0;2025-05-12;USER_088;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;
21316;Solicitação de equipamento - Computador;2;2025-05-09;USER_089;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
21177;Solicitação de equipamento - Computador;3;2025-05-09;USER_090;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
21172;Solicitação de equipamento - Computador;2;2025-05-09;USER_090;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
21154;Solicitação de equipamento - Computador;3;2025-05-09;USER_091;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
21011;Solicitação de equipamento - Computador;1;2025-05-08;USER_092;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
20957;Solicitação de equipamento - Computador;3;2025-05-08;USER_079;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
20799;Solicitação de equipamento - Computador;3;2025-05-07;USER_093;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
19975;Suporte à estação de trabalho;0;2025-05-02;USER_017;LOC_001;Suporte N2;Atribuído;;800;Informática;
19833;Solicitação de equipamento - Computador;2;2025-04-30;USER_094;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
19562;Suporte à estação de trabalho;0;2025-04-29;USER_074;LOC_025;Suporte N2;Fechado;2025-05-01;Whatsapp;gestor_5;
19506;Solicitação de equipamento - Computador;1;2025-04-29;USER_095;LOC_011;Suporte N2;Estoque;;Sistema;gestor_5;Computador
19343;Estabilizador/No-break;0;2025-04-28;USER_054;LOC_036;Suporte N2;Atribuído;;Whatsapp;gestor_1;
19340;Solicitação de equipamento - Computador;1;2025-04-28;USER_054;LOC_036;Suporte N2;Estoque;;Sistema;gestor_1;Computador
18991;Suporte à estação de trabalho;0;2025-04-25;USER_082;LOC_034;Suporte N2;Atribuído;;800;gestor_2;
18824;Solicitação de equipamento - Computador;1;2025-04-24;USER_096;LOC_037;Suporte N2;Estoque;;Whatsapp;gestor_4;Computador
18743;Solicitação de equipamento - Computador;1;2025-04-24;USER_097;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
18552;Solicitação de equipamento - Computador;2;2025-04-23;USER_098;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
18335;Solicitação de equipamento - Computador;1;2025-04-22;USER_028;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
18015;Solicitação de equipamento - Periférico - Fone;2;2025-04-15;USER_022;LOC_001;Suporte N2;Atribuído;;Whatsapp;Informática;Periférico - Fone
18014;Solicitação de equipamento - Periférico - Fone;2;2025-04-15;USER_022;LOC_001;Suporte N2;Fechado;2025-04-17;Sistema;Informática;Periférico - Fone
18004;Solicitação de equipamento - Periférico - Fone;1;2025-04-15;USER_099;LOC_001;Suporte N2;Atribuído;;800;Informática;Periférico - Fone
17578;Solicitação de equipamento - Periférico - Fone;2;2025-04-11;USER_044;LOC_012;Suporte N2;Estoque;;Sistema;gestor_4;Periférico - Fone
17576;Solicitação de equipamento - Periférico - Fone;2;2025-04-11;USER_044;LOC_012;Suporte N2;Estoque;;Whatsapp;gestor_4;Periférico - Fone
17474;Solicitação de equipamento - Periférico - Fone;1;2025-04-10;USER_044;LOC_012;Suporte N2;Estoque;;Sistema;gestor_4;Periférico - Fone
17471;Solicitação de equipamento - Periférico - Fone;3;2025-04-10;USER_044;LOC_012;Suporte N2;Estoque;;Whatsapp;gestor_4;Periférico - Fone
17465;Solicitação de equipamento - Periférico - Fone;1;2025-04-10;USER_017;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Periférico - Fone
17463;Solicitação de equipamento - Periférico - Fone;3;2025-04-10;USER_044;LOC_012;Suporte N2;Estoque;;Whatsapp;gestor_4;Periférico - Fone
17427;Solicitação de equipamento - Periférico - Fone;3;2025-04-10;USER_044;LOC_012;Suporte N2;Estoque;;Sistema;gestor_4;Periférico - Fone
17414;Solicitação de equipamento - Periférico - Fone;1;2025-04-10;USER_044;LOC_012;Suporte N2;Estoque;;Whatsapp;gestor_4;Periférico - Fone
17136;Solicitação de equipamento - Computador;2;2025-04-09;USER_017;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
16986;Suporte à estação de trabalho;0;2025-04-09;USER_100;LOC_001;Bancada;Atribuído;;Whatsapp;Informática;
16364;Solicitação de equipamento - Computador;3;2025-04-04;USER_091;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
15535;Solicitação de equipamento - Computador;2;2025-04-01;USER_101;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
15385;Solicitação de equipamento - Computador;1;2025-03-31;USER_102;LOC_005;Suporte N2;Estoque;;Sistema;gestor_4;Computador
15221;Solicitação de equipamento - Computador;1;2025-03-31;USER_063;LOC_019;Suporte N2;Estoque;;Whatsapp;gestor_3;Computador
15220;Solicitação de equipamento - Computador;2;2025-03-31;USER_063;LOC_019;Suporte N2;Estoque;;Sistema;gestor_3;Computador
14991;Solicitação de equipamento - Computador;2;2025-03-28;USER_103;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
14621;Solicitação de equipamento - Computador;3;2025-03-26;USER_086;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
13484;Solicitação de equipamento - Computador;3;2025-03-20;USER_104;LOC_036;Suporte N2;Estoque;;Whatsapp;gestor_1;Computador
13184;Solicitação de equipamento - Computador;3;2025-03-19;USER_105;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
12891;Impressora e serviços de impressão;0;2025-03-18;USER_010;LOC_005;Suporte N2;Atribuído;;Whatsapp;gestor_4;
12839;Solicitação de equipamento - Computador;3;2025-03-18;USER_029;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
12520;Impressora e serviços de impressão;0;2025-03-14;USER_010;LOC_005;Suporte N2;Fechado;2025-03-16;Whatsapp;gestor_4;
12325;Solicitação de equipamento - Computador;1;2025-03-13;USER_049;LOC_015;Suporte N2;Estoque;;Sistema;gestor_4;Computador
11888;Solicitação de equipamento - Computador;2;2025-03-12;USER_106;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
11877;Solicitação de equipamento - Computador;2;2025-03-12;USER_106;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
11392;Solicitação de equipamento - Computador;3;2025-03-10;USER_107;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
10706;Solicitação de equipamento - Computador;2;2025-03-06;USER_029;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
10696;Solicitação de equipamento - Computador;3;2025-03-06;USER_029;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
10693;Solicitação de equipamento - Computador;1;2025-03-06;USER_029;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Computador
10689;Solicitação de equipamento - Computador;2;2025-03-06;USER_029;LOC_001;Suporte N2;Estoque;;Whatsapp;Informática;Computador
10589;Estabilizador/No-break;0;2025-02-28;USER_085;LOC_016;Estagiário;Atribuído;;800;gestor_3;
10004;Solicitação de equipamento - Computador;1;2025-02-26;USER_108;LOC_038;Suporte N2;Estoque;;Sistema;gestor_4;Computador
9625;Suporte à estação de trabalho;0;2025-02-24;USER_024;LOC_007;Bancada;Fechado;2025-02-26;Whatsapp;gestor_3;
9226;Solicitação de equipamento - Computador;1;2025-02-21;USER_109;LOC_039;Suporte N2;Estoque;;Sistema;gestor_4;Computador
8852;Solicitação de equipamento - Periférico - Teclado;2;2025-02-19;USER_110;LOC_040;Suporte N2;Atribuído;;Whatsapp;gestor_3;Periférico - Teclado
8135;Suporte à estação de trabalho;0;2025-02-14;USER_082;LOC_034;Suporte N2;Fechado;2025-02-16;Sistema;gestor_2;
7287;Solicitação de equipamento - Periférico - Teclado;3;2025-02-11;USER_111;LOC_001;Estagiário;Estoque;;Whatsapp;Informática;Periférico - Teclado
6741;Solicitação de equipamento - Periférico - Teclado;3;2025-02-07;USER_112;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Periférico - Teclado
6531;Solicitação de equipamento - Periférico - Teclado;1;2025-02-06;USER_113;LOC_041;Suporte N2;Estoque;;Whatsapp;gestor_3;Periférico - Teclado
6530;Solicitação de equipamento - Periférico - Teclado;1;2025-02-06;USER_113;LOC_041;Suporte N2;Estoque;;Sistema;gestor_3;Periférico - Teclado
6510;Solicitação de equipamento - Periférico - Teclado;1;2025-02-06;USER_113;LOC_040;Estagiário;Estoque;;Whatsapp;gestor_3;Periférico - Teclado
6220;Solicitação de equipamento - Periférico - Mouse;3;2025-02-04;USER_010;LOC_005;Estagiário;Estoque;;Sistema;gestor_4;Periférico - Mouse
6164;Solicitação de equipamento - Periférico - Mouse;2;2025-02-04;USER_054;LOC_018;Estagiário;Estoque;;Whatsapp;gestor_1;Periférico - Mouse
4941;Solicitação de equipamento - Periférico - Mouse;1;2025-01-29;USER_114;LOC_001;Suporte N2;Estoque;;Sistema;Informática;Periférico - Mouse
